Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DE25,DE25 - Mittelfranken,1566070,1598857,1621514,1641331,1652252,1660294,1667254,1674282,1677515,1678535,1683282,1689066,1698343,1703869,1706615,1708972,1712275,1712622,1714123,1712405,1710145,1679849,1688414,1698515,1707376,1715195,1738686,1750059,1759643,1770401
DE26,DE26 - Unterfranken,1234906,1259010,1273415,1289657,1299951,1308151,1317652,1323132,1327318,1329399,1333803,1335991,1340912,1344300,1344740,1344629,1341481,1337876,1334767,1327497,1321957,1302144,1299076,1297727,1297992,1298849,1306048,1309209,1313375,1317124
DE27,DE27 - Schwaben,1593863,1627539,1655561,1684485,1701297,1710809,1722117,1729293,1732919,1736688,1745576,1753447,1767193,1776465,1782386,1786166,1788919,1786764,1788329,1786483,1784753,1778244,1783119,1792759,1806025,1821271,1846020,1857991,1873368,1887754
DE3 ,DE3 - Berlin,3400426,3433693,3446026,3465751,3475386,3472009,3471418,3458763,3425759,3398822,3386667,3382169,3388434,3392425,3388477,3387828,3395189,3404037,3416255,3431675,3442675,3278346,3326002,3375222,3421829,3469849,3520031,3574830,3613495,3644826
DE30,DE30 - Berlin,3400426,3433693,3446026,3465751,3475386,3472009,3471418,3458763,3425759,3398822,3386667,3382169,3388434,3392425,3388477,3387828,3395189,3404037,3416255,3431675,3442675,3278346,3326002,3375222,3421829,3469849,3520031,3574830,3613495,3644826
DE4 ,DE4 - Brandenburg,2641152,2578298,2542645,2542642,2537605,2536747,2542042,2554441,2573291,2590375,2601207,2601962,2593040,2582379,2574521,2567704,2559483,2547772,2535737,2522493,2511525,2461242,2453180,2449511,2449193,2457872,2484826,2494648,2504040,2511917
DE40,DE40 - Brandenburg,2641152,2578298,2542645,2542642,2537605,2536747,2542042,2554441,2573291,2590375,2601207,2601962,2593040,2582379,2574521,2567704,2559483,2547772,2535737,2522493,2511525,2461242,2453180,2449511,2449193,2457872,2484826,2494648,2504040,2511917
DE5 ,DE5 - Bremen,673680,681648,683694,685840,683097,680029,679757,677770,673883,667965,663065,660225,659651,662098,663129,663213,663467,663979,663082,661866,661716,651467,652182,654774,657391,661888,671489,678753,681032,682986
DE50,DE50 - Bremen,673680,681648,683694,685840,683097,680029,679757,677770,673883,667965,663065,660225,659651,662098,663129,663213,663467,663979,663082,661866,661716,651467,652182,654774,657391,661888,671489,678753,681032,682986
DE6 ,DE6 - Hamburg,1626222,1652360,1668758,1688789,1702889,1705872,1707901,1707986,1704731,1700089,1704735,1715392,1726363,1728806,1734083,1734830,1743627,1754182,1770629,1772100,1774224,1705700,1718187,1734272,1746342,1762791,1787408,1810438,1830584,1841179
